Wijk2025;wijknaam2025
001400;Centrum
001401;Oud-Zuid
001402;Oud-West
001403;Oud-Noord
001404;Oud-Oost
001405;Zuidoost
001406;Midden-Zuid
001407;Zuidwest
001408;Hoogkerk e.o.
001409;Nieuw-West
001410;Nieuw-Noord
001411;Noordoost
001412;Nieuw-Oost
001413;Meerdorpen
001414;Meerstad e.o.
001415;Ten Boer e.o.
001416;Ten Post e.o.
001417;Haren-West e.o.
001418;Haren-Oost e.o.
001419;Glimmen-Onnen-Noordlaren
003401;Centrum Almere Haven
003402;De Werven
003403;De Hoven
003404;De Meenten
003405;De Grienden
003406;De Marken
003407;De Gouwen
003408;De Wierden
003409;De Velden
003410;Overgooi
003411;De Laren
003414;De Steiger
003415;Stichtsekant
003416;Overig Almere Haven
003417;Centrum Almere Stad
003418;Filmwijk
003419;Danswijk
003420;Parkwijk
003421;Verzetswijk
003422;Waterwijk
003423;Tussen de Vaarten Noord
003424;Tussen de Vaarten Zuid
003425;Staatsliedenwijk
003426;Kruidenwijk
003427;Stedenwijk
003428;Muziekwijk Noord
003429;Muziekwijk Zuid
003430;Literatuurwijk
003431;Noorderplassen
003432;Hortus
003434;Randstad
003435;Markerkant
003436;Hollandsekant
003437;Gooisekant
003438;Veluwsekant
003439;Sallandsekant
003440;Overig Almere Stad
003441;Centrum Almere Buiten
003442;Oostvaardersbuurt
003443;Seizoenenbuurt
003444;Molenbuurt
003445;Bouwmeesterbuurt
003446;Landgoederenbuurt
003447;Faunabuurt
003448;Bloemenbuurt
003449;Regenboogbuurt
003450;Indischebuurt
003451;Eilandenbuurt
003452;Stripheldenbuurt
003453;Sieradenbuurt
003456;Poldervlak
003457;De Vaart
003458;Buitenvaart
003459;Overig Almere Buiten
003460;Europakwartier Oost
003461;Europakwartier West
003462;Columbuskwartier
003463;Homeruskwartier
003464;Olympiakwartier Oost
003465;Olympiakwartier West
003466;Duin
003471;Hogekant
003472;Middenkant
003473;Lagekant
003474;Overig Almere Poort
003475;Vogelhorst
003476;Nobelhorst
003477;Oosterwold
003479;Twentsekant
003485;Overig Almere Hout
003496;Overig Almere Pampus
003499;Groot water
003701;Stadskanaal
003702;Musselkanaal
003703;Onstwedde
003704;Mussel
003705;Alteveer
004700;Wijk 00 Veendam-kern
004701;Wijk 01 Veendam-buitengebied
004702;Wijk 02 Wildervank
005000;Wijk 00
005099;Groot water
005900;Wijk 00 Noord
005901;Wijk 01 Centrum
005902;Wijk 02 Zuid
006000;Wijk 00
006099;Groot water
007200;Wijk 00 Harlingen
007201;Wijk 01 Midlum
007202;Wijk 02 Wijnaldum
007299;Groot water
007401;Wijk 01 Heerenveen
007402;Wijk 02 Noord-Heerenveen
007403;Wijk 03 Hoornsterzwaag
007404;Wijk 04 Jubbega
007406;Wijk 06 Oranjewoud
007407;Skarsterlân
007409;Boarnsterhim
008010;Binnenstad
008011;Potmargezone
008020;Oud-Oost
008030;Sonnenborgh e.o.
008031;Westeinde e.o.
008032;Vossepark & Helicon
008040;Huizum-West
008041;Nijlân & De Zwette
008050;Heechterp & Schieringen
008051;Camminghaburen e.o.
008060;Bilgaard & Havankpark e.o.
008061;Vrijheidswijk
008062;Dokkumer Ie e.o.
008063;Stiens e.o.
008070;Aldlân & De Hemrik
008071;Goutum
008072;Hempens/Teerns & Zuiderburen
008073;De Zuidlanden
008074;Middelsee
008080;Dorpen Zuid-Oost
008081;Dorpen Zuid-West
008082;Grou e.o.
008501;Appelscha
008502;Donkerbroek
008503;Elsloo
008504;Fochteloo
008505;Haule
008506;Haulerwijk
008507;Langedijke
008508;Makkinga
008509;Nijeberkoop
008510;Oldeberkoop
008511;Oosterwolde
008512;Ravenswoud
008513;Waskemeer
008601;Bakkeveen
008602;Beetsterzwaag
008604;Frieschepalen
008605;Gorredijk
008606;Hemrik
008607;Jonkerslân
008608;Langezwaag
008609;Lippenhuizen
008610;Luxwoude
008611;Nij Beets
008613;Siegerswoude
008614;Terwispel
008615;Tijnje
008616;Ureterp
008617;Wijnjewoude
008800;Wijk 00
008899;Groot water
009001;Centrum
009002;De Wiken
009003;De Singels
009004;De Drait
009005;Drachtstervaart
009006;De Venen
009007;De Folgeren
009008;De Swetten
009009;De Bouwen
009010;Noord-Oost
009011;De Haven
009012;Drachten Oost
009013;De Trisken
009021;Buitengebied Noord
009022;Buitengebied West
009023;Buitengebied Oost
009300;Wijk 00 West-Terschelling
009301;Wijk 01 Midsland
009302;Wijk 02 Formerum
009303;Wijk 03 Lies
009304;Wijk 04 Hoorn
009305;Wijk 05 Oosterend
009399;Groot water
009600;Wijk 00
009699;Groot water
009800;Wolvega
009801;De Wolden-Ter Idzard
009802;De Lamers
009803;Lange-Nije-Munk
009804;Scherpenzeel-Spanga
009805;Oldetrijne-Sonnega
009806;Blesdijke
009807;De Blesse-Peperga
009808;Steggerda
009809;De Hoeve-Vinkega
009810;Noordwolde
009811;Oosterstreek
009812;Zandhuizen
009813;Boijl
009814;Nijeholtpade
009815;Oldeholtpade
010600;Centrum
010601;Lariks
010602;Noorderpark
010603;Assen-Oost
010604;Pittelo
010605;Assen-West
010606;Peelo
010607;Marsdijk
010608;Kloosterveen
010699;Buitengebied
010910;Wijk 10 Coevorden
010911;Wijk 11 Steenwijksmoer
010912;Wijk 12 Nieuwe Krim
010913;Wijk 13 Weijerswold
010914;Wijk 14 Vlieghuis en Padhuis
010920;Wijk 20 Dalen
010930;Wijk 30 Oosterhesselen
010940;Wijk 40 Sleen
010950;Wijk 50 Zweeloo
011401;Wijk 01 Nieuw-Weerdinge
011402;Wijk 02 Roswinkel
011403;Wijk 03 Emmer-Compascuum
011404;Wijk 04 Barger-Compascuum
011405;Wijk 05 Nieuw-Dordrecht
011406;Wijk 06 Nieuw-Amsterdam
011407;Wijk 07 Erica
011408;Wijk 08 Klazienaveen
011409;Wijk 09 Zwartemeer
011410;Wijk 10 Schoonebeek
011413;Wijk 13 Veenoord
011421;Wijk 21 Nieuw-Schoonebeek
011432;Wijk 32 Weiteveen
011440;Wijk 40 Emmen-Centrum
011441;Wijk 41 Emmen-Centrum Oost
011442;Wijk 42 Emmermeer
011443;Wijk 43 Angelslo
011444;Wijk 44 Emmerhout
011445;Wijk 45 Emmerschans
011446;Wijk 46 Bargeres
011447;Wijk 47 Rietlanden
011448;Wijk 48 Parc Sandur
011449;Wijk 49 Delftlanden
011450;Wijk 50 Barger-Oosterveld
011451;Wijk 51 Kern Emmen Noord
011452;Wijk 52 Kern Emmen Zuid
011453;Wijk 53 Kern Emmen Industrieterreinen
011850;Wijk 50 Hoogeveen
011851;Wijk 51 De Weide
011852;Wijk 52 Fluitenberg
011853;Wijk 53 Elim
011854;Wijk 54 Hollandscheveld
011855;Wijk 55 Noordscheschut
011856;Wijk 56 Nieuwlande
011857;Wijk 57 Nieuweroord
011858;Wijk 58 Tiendeveen
011859;Wijk 59 Stuifzand
011860;Wijk 60 Pesse
